Accession Id,Artist,Credit Line,Display Dimensions,Geometry,Location Description,Medium,Source,Title,Location
1927.1,"McQuarrie, J.",Gift of Bay Area Spanish-American War veterans and American Legion posts.,8' H,"(-122.4835193,37.76904)","Public Display : District 1 : GGP, south side of JFK",Bronze,San Francisco Arts Commission,Father William D. McKinnon ( -1902),
1986.25,METAL,Gift of the International Longshoremen's & Warehousemen's Union Memorial,15 X 20 X 9 ' overall of three panels,"(-122.3916551,37.7919942)",Public Display : District 6 : Stuart Street,painted welded steel,San Francisco Arts Commission,International Longshoremen's & Warehousemen's Union Memorial (ILWU),
1999.8.1,"Montoya, Emmanuel C.",Commissioned by the Public Art Program for the Mission Library,,"(-122.415783,37.778864)",Public Display : District 9 : Mission Library,linocut print; Prisma color,San Francisco Arts Commission,"Deities of Knowledge, Culture and Literature",
1966.21,"Moore, Henry",Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"(-122.4194155,37.7749295)",Public Display : District 3 : Golden Gateway Plaza,Bronze,San Francisco Arts Commission,Standing Figure Knife Edged- Winged Figure,
1980.8,"Moore, Henry",Gift of Earl and Helli Rouda to the San Francisco Art Commission.,"6 1/2"" H X 4' W X 13 1/2"" D","(-122.4222548,37.790378)","Public Display : District 6 : Civic Center, Grove and Van Ness",Bronze,San Francisco Arts Commission,Large Four Piece Reclining Figure,
1916.1,"Mora, Joseph Jacinto",Gift of E.J. Molora and C.J. Cobrian to the City of San Francisco.,,"(-122.4666711,37.7703537)","Public Display : District 1 : GGP, Music Concourse",Bronze,San Francisco Arts Commission,Miguel Cervantes (1547-1616),
1939.1,"Moxom, Jack",,4'H,"(-122.4194155,37.7749295)",Public Display : District 1 : GGP : Children's Playground : west of carousel,Sandstone,San Francisco Arts Commission,Sarah B. Cooper Memorial,
1973.26,"Moya Del Pino, Jose",,,"(-122.4194155,37.7749295)",Public Display : District 5 : African American Art and Culture Complex : Fulton ,fresco secco,San Francisco Arts Commission,Murals for Acme Beer Company,"African American Art
"
1934.17,"Moya Del Pino, Jose",Commissioned for Coit Tower,,"(-122.4058194,37.8023686)",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,"San Francisco Bay, North",
1979.11,"Mullican, Lee",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"75"" H X 75"" W","(-122.389979,37.615223)",Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,Acrylic on canvas,San Francisco Arts Commission,The Great Transparents,
2002.6,"Murrill, Gwyn",Purchased for the San Francisco Zoo by the San Francisco Arts Commission,,"(-122.5049211,37.7336173)","Public Display : District 4 : SF Zoo, main entrance",Cast bronze,San Francisco Arts Commission,Tiger II,
2002.5,"Murrill, Gwyn",Purchased for the San Francisco Zoo by the San Francisco Arts Commission,,"(-122.5049211,37.7336173)","Public Display : District 4 : SF Zoo, main entrance",Cast bronze sculpture,San Francisco Arts Commission,Cougar III,
T2009.22,"Murrill, Gwynn","Collection of the City and County of San Francisco
Purchased for the San Francisco Zoo by the San Francisco Arts Commission",80 1/2 in. x 13 in. x 18 in.,"(-122.4194155,37.7749295)",Public Display : District 7 : Zoo : Animal Resource Center,Bronze and limestone,San Francisco Arts Commission,Hawk V,
1981.14,"Neri, Manuel",Purchased by the San Francisco Art Commission for the Moscone Center,"8 1/2"" H X 18"" W X 6""D","(-122.433021,37.801262)",Public Display : District 6 : Moscone Center,Marble and ink ,San Francisco Arts Commission,Untitled Proposal,
1986.58,"Neri, Manuel",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"69 3/4"" H X 22 3/4"" W X 10 1/2"" D","(-122.389979,37.615223)",Airport : T1 : Boarding Area C : Gate 46,Marble,San Francisco Arts Commission,Mujer Pagada No.4,
1977.67,"Newman, Ruby",Commissioned for SFGH by the city,"51""H X 126"" W","(-122.4044431,37.7557795)",City Department : SFGH,Acrylic on wood panel,San Francisco Arts Commission,Children's Mural,
1980.7,"Noguchi, Isamu",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"61"" H X 21 1/2"" W X 15 1/4"" D","(-122.389979,37.615223)",Airport : T1 : Boarding Area C : Gate 45,Cast bronze with black patina,San Francisco Arts Commission,Figure,
1978.53,"Novak, Stephen",Purchased for the John C. Woods Motor Coach Center,,"(-122.4194155,37.7749295)","Public Display : District 10 : 22nd St., between Indiana and Minnesota",Wood,San Francisco Arts Commission,Untitled,
1984.55.1-4,"O'banion, Nance",Purchased by the San Francisco Art Commission for the San Francisco International Airport,12' H X 15' W,"(-122.389979,37.615223)",Airport : T3 : Gate 81,"Abaca paper, acrylic medium, bamboo, waxed cotton and wire",San Francisco Arts Commission,Billboard Series: Exploded Transverse with no Nuggies,
2001.3,"O'Day, Ruth",Collection of the City and County of San Francisco,overall: 1' X 86',"(-122.4194155,37.7749295)","Public Display : District 6 : Tenderloin Children's Playground, Turk and Hyde",Mosaic tile,San Francisco Arts Commission,Guardian Serpent,
1966.25,"Olaguibel, Juan",Gift of the Mexican Colony to the City of San Francisco,"sculpture: 12' X 4' X 3' base: 7' '9 1/2"" X 9' 6"" X 9' 6""","(-122.4282213,37.7596965)",Public Display : District 8 : Dolores Park : Church St. at 19th St.,bronze sculpture on black granite veneer base,San Francisco Arts Commission,Miguel Hidalgo Y Costilla,"Dolores Park : Church St
"
1934.16,"Oldfield, Otis",Commissioned for Coit Tower,,"(-122.4058194,37.8023686)",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,San Francisco Bay,
1934.19,"Oldfield, Otis",Commissioned for Coit Tower,,"(-122.4058194,37.8023686)",Public Display : District 3 : Coit Tower,Oil,San Francisco Arts Commission,Seabirds and Bay Area Map,
1940.5.2,"Olmsted, Frederick Law",Commissioned by the San Francisco Art Commission for San Francisco City College,6 ' H on 7 ' base,"(-122.451725,37.7277894)",Public Display : District 8 : CCSF : Ocean Campus,Tuff stone,San Francisco Arts Commission,Leonardo da Vinci,
1940.5.1,"Olmsted, Frederick Law Jr.",Commissioned by the San Francisco Art Commission for San Francisco City College,6' H on 7 ' base,"(-122.451725,37.7277894)",Public Display : District 8 : CCSF : Ocean Campus : Science Building Esplanade,tuff stone,San Francisco Arts Commission,Edison,
1934.2,"Olmsted, Jr., Frederick Law",Commissioned for Coit Tower,,"(-122.4058194,37.8023686)",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Power,
1942.14.A-B,"Olmsted, Jr., Frederick Law",Work Progress Adminstration,,"(-122.451725,37.7277894)",Public Display : District 8 : CCSF : Ocean Campus : Science Building : Lobby,Fresco,San Francisco Arts Commission,Education (Theory and Science),
2005.1,"Oropallo, Deborah",,,"(-122.4184094,37.7793133)",Public Display : District 6 : City Hall,,San Francisco Arts Commission,Love + Marriage,
1976.96,"Overhoff, Jacques",Commissioned by the San Francisco Art Commission for the Department of Social Services,,"(-122.4194155,37.7749295)",City Department : Dept. Social Services : 170 Otis. St. : Building Facade,Bronze,San Francisco Arts Commission,Untitled,
1968.65,"Overhoff, Jacques",Purchased by the San Francisco Art Commission for the Anna E. Waden Branch Library.,14' X 24',"(-122.3896884,37.7321019)",City Department : SFPL : Bayview Branch : Exterior,Bas-relief--clay,San Francisco Arts Commission,Untitled,"1601 Lane St
"
1977.66,"Overhoff, Jacques",Commissioned by the San Francisco Art Commission for City College,,"(-122.4508478,37.72568589999999)","Public Display : District 11 : CCSF, Phelan Campus",Cement,San Francisco Arts Commission,Sculpture Garden,
2004.12,"Ozan, Pepe",Commissioned by the San Francisco Arts Commission,,"(-122.4194155,37.7749295)",Public Display : District 9 : Adjacent to C. Chavez bicycle overpass,"steel rod and perforated metal galvinized, w/Aero plate, bronzing powder",San Francisco Arts Commission,Invocation,
1928.3,"Paitigan, Haig",Gift of James D. Phelan,2' H statue on a 5' H granite shaft,"(-122.4184094,37.7793133)",Public Display : District 6 : City Hall,Bronze,San Francisco Arts Commission,Edward Robeson Taylor (1838-1923),
